County,FIPS,45.5_objective,Adj.Death_rate,low_death_rate,upper_death_rate,avg_deaths,recent_trend,recent_5_year_trend,lower_trend,upper_trend,State
United States,0,No,46.0,45.9,46.1,157376.0,falling,-2.4,-2.6,-2.2,United States
"Perry County, Kentucky",21193,No,125.6,108.9,144.2,43.0,stable,-0.6,-2.7,1.6,Kentucky
"Powell County, Kentucky",21197,No,125.3,100.2,155.1,18.0,stable,1.7,0.0,3.4,Kentucky
"North Slope Borough, Alaska",2185,No,124.9,73.0,194.7,5.0,,,,,Alaska
"Owsley County, Kentucky",21189,No,118.5,83.1,165.5,8.0,stable,2.2,-0.4,4.8,Kentucky
"Union County, Florida",12125,No,113.5,89.9,141.4,19.0,falling,-2.2,-4.3,0.0,Florida
"McCreary County, Kentucky",21147,No,111.1,90.6,134.9,22.0,rising,22.9,6.9,41.4,Kentucky
"Leslie County, Kentucky",21131,No,110.3,87.0,138.5,16.0,stable,0.8,-0.7,2.4,Kentucky
"Martin County, Kentucky",21159,No,109.1,84.8,138.3,14.0,stable,1.3,-0.8,3.4,Kentucky
"Menifee County, Kentucky",21165,No,106.0,76.4,144.4,9.0,stable,1.4,-1.4,4.3,Kentucky
"Jackson County, Kentucky",21109,No,104.6,83.0,130.4,17.0,stable,0.8,-1.4,3.0,Kentucky
"Poinsett County, Arkansas",5111,No,103.5,88.0,121.0,33.0,stable,-0.2,-1.4,1.0,Arkansas
"Polk County, Tennessee",47139,No,103.3,85.5,124.1,25.0,stable,0.5,-1.2,2.1,Tennessee
"Floyd County, Kentucky",21071,No,98.7,86.1,112.6,47.0,stable,0.6,-0.4,1.6,Kentucky
"Casey County, Kentucky",21045,No,98.5,80.3,119.9,21.0,stable,0.6,-0.7,2.0,Kentucky
"Madison County, Missouri",29123,No,98.5,78.7,122.3,17.0,stable,-0.3,-1.9,1.3,Missouri
"Mississippi County, Missouri",29133,No,97.2,77.6,120.6,17.0,stable,0.3,-1.4,1.9,Missouri
"Clay County, Kentucky",21051,No,96.5,78.9,116.9,22.0,stable,1.2,-0.4,2.8,Kentucky
"Nome Census Area, Alaska",2180,No,96.1,61.4,141.6,6.0,,,,,Alaska
"Letcher County, Kentucky",21133,No,96.1,80.7,113.7,29.0,stable,-0.4,-1.7,1.0,Kentucky
"Whitley County, Kentucky",21235,No,95.6,82.5,110.3,39.0,stable,-0.2,-1.6,1.3,Kentucky
"Harlan County, Kentucky",21095,No,95.3,81.3,111.2,34.0,stable,0.6,-0.6,1.9,Kentucky
"Logan County, West Virginia",54045,No,95.1,82.8,108.9,45.0,falling,-1.1,-2.2,0.0,West Virginia
"Scott County, Tennessee",47151,No,94.9,78.4,113.8,24.0,stable,-0.1,-1.3,1.2,Tennessee
"Ohio County, Kentucky",21183,No,94.6,79.5,112.0,28.0,stable,0.3,-1.0,1.6,Kentucky
"Bracken County, Kentucky",21023,No,92.7,67.4,124.9,9.0,stable,0.1,-1.7,1.9,Kentucky
"Johnson County, Kentucky",21115,No,92.5,77.1,110.3,27.0,stable,0.2,-0.9,1.3,Kentucky
"Carter County, Missouri",29035,No,92.3,64.7,128.7,8.0,stable,1.2,-1.2,3.7,Missouri
"Trimble County, Kentucky",21223,No,91.9,66.4,124.0,9.0,stable,0.9,-1.2,3.1,Kentucky
"Phillips County, Arkansas",5107,No,90.8,74.9,109.3,23.0,stable,0.2,-0.9,1.3,Arkansas
"Lee County, Kentucky",21129,No,90.8,65.2,124.0,9.0,stable,-0.5,-2.7,1.9,Kentucky
"Pemiscot County, Missouri",29155,No,90.5,73.1,110.8,19.0,stable,0.1,-1.4,1.8,Missouri
"Hart County, Kentucky",21099,No,90.2,73.5,109.9,21.0,stable,0.3,-1.2,1.8,Kentucky
"Nicholas County, Kentucky",21181,No,89.6,64.0,122.8,8.0,stable,-0.1,-2.1,1.9,Kentucky
"Henry County, Kentucky",21103,No,89.3,70.8,111.4,17.0,stable,1.5,-0.4,3.4,Kentucky
"Rockcastle County, Kentucky",21203,No,89.2,71.8,109.7,19.0,stable,0.5,-0.9,2.0,Kentucky
"Upton County, Texas",48461,No,89.1,51.9,144.1,3.0,,,,,Texas
"Benton County, Tennessee",47005,No,89.0,72.8,108.3,22.0,stable,0.9,-0.7,2.5,Tennessee
"Fulton County, Kentucky",21075,No,88.9,64.2,121.3,9.0,stable,0.5,-1.1,2.0,Kentucky
"Lake County, Tennessee",47095,No,88.9,63.2,122.2,8.0,stable,0.4,-1.8,2.6,Tennessee
"Caldwell County, Kentucky",21033,No,88.0,69.6,110.2,16.0,stable,0.6,-1.0,2.2,Kentucky
"Grayson County, Kentucky",21085,No,87.9,73.9,104.1,28.0,rising,6.8,0.1,13.9,Kentucky
"Wayne County, Missouri",29223,No,87.9,71.0,108.3,19.0,stable,0.3,-1.1,1.7,Missouri
"Madison County, Mississippi",28089,No,87.4,78.7,96.7,78.0,falling,-8.6,-11.9,-5.1,Mississippi
"Quitman County, Georgia",13239,No,87.2,50.3,146.9,4.0,,,,,Georgia
"Meade County, Kentucky",21163,No,87.0,71.7,104.7,24.0,stable,-0.2,-1.9,1.5,Kentucky
"Campbell County, Tennessee",47013,No,86.8,76.0,98.8,49.0,stable,0.1,-0.8,1.0,Tennessee
"Mason County, Kentucky",21161,No,86.6,69.6,106.7,19.0,stable,0.5,-1.0,2.0,Kentucky
"Sequatchie County, Tennessee",47153,No,86.6,68.3,108.6,16.0,rising,2.2,0.6,3.8,Tennessee
"McDowell County, West Virginia",54047,No,86.6,72.0,103.5,26.0,stable,0.4,-0.8,1.6,West Virginia
